years_experience,annual_salary_usd
8.1,68999.11
1.8,50829.82
13.4,79501.65
12.7,80189.86
0.9,38792.2
2.3,46284.65
10.6,73352.34
5.6,53187.94
15.7,95690.73
9.9,67139.97
24.4,127440.34
7.2,64463.35
3.6,53325.3
20.4,106755.35
4.5,44937.18
9.3,63559.02
13.7,83781.87
5.1,55128.48
17.0,87719.38
14.6,87009.64
11.3,70877.14
17.5,104154.16
6.1,50982.97
21.9,104778.98
18.2,92272.79
3.0,63926.64
10.5,71754.53
12.2,73598.23
1.0,36183.89
14.3,74873.18
21.9,104473.23
14.9,94198.04
14.5,73345.98
23.6,116640.91
11.9,74989.68
17.5,92178.59
16.2,100975.79
7.1,60236.63
9.6,68092.98
11.5,73681.97
4.2,52990.62
19.2,100843.77
3.2,48329.54
21.8,113734.4
2.0,37206.39
22.1,111098.02
20.5,106782.19
10.4,67623.74
9.0,78070.37
3.8,40121.79
4.4,52574.8
12.1,81065.81
14.7,84996.52
10.5,72141.71
9.2,53868.44
17.3,87350.78
12.9,72619.08
1.3,36091.93
22.5,112288.35
19.9,89671.53
9.8,67101.12
15.9,90543.42
1.6,46863.85
4.1,52806.1
8.5,65322.6
3.8,50202.04
2.5,45107.09
21.9,109110.82
15.4,90002.69
8.7,69516.57
9.1,75479.83
24.8,125496.17
11.6,72590.37
2.6,46577.82
8.6,64476.19
4.0,62025.34
0.6,46928.91
3.7,47610.56
13.6,88767.51
24.5,117643.44
21.6,105571.92
9.2,63036.41
4.2,52456.79
19.5,93070.2
8.2,66087.79
24.6,127524.32
21.3,109984.33
18.5,86799.22
5.7,50649.99
0.7,39617.92
0.7,39385.83
17.3,97928.33
23.9,101139.08
24.7,121633.13
23.9,111686.88
5.7,59422.82
4.9,56053.26
22.5,118050.36
21.0,96543.1
20.0,103122.73
